IMEI,TEN
RR433Y32PJ,DEMO - APPLE IPAD 10.2 2021 WIFI 64GB XÁM CHÍNH HÃNG
SJ796W1H4K3,DEMO - APPLE IPAD PRO 11 2021 M1 WIFI 128GB BẠC CHÍNH HÃNG
SK9P4TG94K5,DEMO - APPLE IPAD PRO 11 2022 M2 WIFI 128GB BẠC CHÍNH HÃNG
354874936599737,DEMO - APPLE IPHONE 13 128GB XANH LÁ CHÍNH HÃNG (VN/A)
355041884966040,DEMO - APPLE IPHONE 14 128GB XANH DƯƠNG CHÍNH HÃNG (VN/A)
350979736941064,DEMO - APPLE IPHONE 14 PLUS 128GB TÍM CHÍNH HÃNG (VN/A)
352213570115801,DEMO - APPLE IPHONE 14 PRO 128GB ĐEN CHÍNH HÃNG (VN/A)
358165603795401,DEMO - APPLE IPHONE 14 PRO MAX 128GB TÍM CHÍNH HÃNG (VN/A)
SW6X1TDY3KT,DEMO - APPLE MACBOOK AIR M2 8GB 256GB 2022 ĐEN CHÍNH HÃNG (MLY33)
SJJY20DLQ3Q,DEMO - APPLE MACBOOK PRO 13 M2 8GB 256GB 2022 XÁM CHÍNH HÃNG (MNEH3)
SLP201X69TV,DEMO - APPLE WATCH SE 2022 40MM (GPS) - VIỀN NHÔM TRẮNG VÀNG - CAO SU TRẮNG CHÍNH HÃNG (MNJP3)
SLK2HD7VMHY,DEMO - APPLE WATCH SERIES 8 45MM (GPS) - VIỀN NHÔM ĐEN - CAO SU ĐEN CHÍNH HÃNG (MNP13)
864867067010717,DEMO - OPPO A17 4GB 64GB XANH (CPH2477)
864821060325655,DEMO - OPPO A17K 3GB 64GB XANH (CPH2471)
862173061170371,DEMO - OPPO A57 4GB 64GB XANH (CPH2387)
866996060061415,DEMO - OPPO A77s 8GB 128GB ĐEN (CPH2473)
869837060530651,DEMO - REALME C33 3GB 32GB XANH
357368580625705,DEMO - SAMSUNG GALAXY A14 4GB 128GB BẠC (A145)
352976240740089,DEMO - SAMSUNG GALAXY A14 5G 4GB 128GB ĐỎ (A146)
358649971189297,DEMO - SAMSUNG GALAXY A23 5G 4GB 128GB BẠC ĐA SẮC (A236)
357260751009571,DEMO - SAMSUNG GALAXY A34 5G 8GB 128GB BẠC (A346)
350320360829459,DEMO - SAMSUNG GALAXY A54 5G 8GB 128GB XANH (A546)
352828290827797,DEMO - SAMSUNG GALAXY A73 5G 8GB 128GB TRẮNG (A736)
350272255888399,DEMO - SAMSUNG GALAXY S22 ULTRA 12GB 256GB TRẮNG (S908)
352496800294989,DEMO - SAMSUNG GALAXY S23 PLUS 8GB 256GB TÍM (S916)
355157581340105,DEMO - SAMSUNG GALAXY S23 ULTRA 8GB 256GB XANH (S918)
350858555956553,DEMO - SAMSUNG GALAXY TAB A8 2022 BẠC (X205)
863785069494971,DEMO - VIVO T1X 4G 64GB XANH
860672068326854,DEMO - VIVO V25E 8GB 128GB VÀNG
865497062443264,DEMO - VIVO Y02S 3GB 32GB ĐEN
865717060508200,DEMO - VIVO Y16 4GB 128GB VÀNG
864932066884734,DEMO - VIVO Y35 8GB 128GB ĐEN
860232063004566,DEMO - XIAOMI 12T 8GB 128GB XANH DƯƠNG
865665062244102,DEMO - XIAOMI REDMI 12C 4GB 64GB XANH DƯƠNG
864451058284688,DEMO - XIAOMI REDMI NOTE 11 PRO 5G 8GB 128GB XÁM
864213064097250,DEMO REALME C55 6GB 128GB ĐEN
SC02GV0UR1255,DEMO-APPLE IMAC 24 2021 M1 7GPU 8GB 256GB XANH DƯƠNG CHÍNH HÃNG (MJV93)
M4NRKD01993917D,DEMO-LAPTOP ASUS TUF GAMING FX516PE-HN005T I7-11370H/8GB/512GB PCIE/VGA 4GB 3050TI/15.6FHD 144HZ/WIN10/XÁM
M6NRCX041418245,DEMO-LAPTOP ASUS TUF GAMING FX706HC-HX003T I5 11400H/8GB/512GB PCIE/VGA 4GB RTX3050/17.3 FHD 144HZ/WIN10/XÁM
NHQEQSV004142131BF3400,DEMO-LAPTOP GAMING ACER NITRO 5 EAGLE AN515-57-720A NH.QEQSV.004 I7-11800H/8GB/512GB PCIE/VGA 4GB RTX3050TI/15.6 IPS 144Hz/WIN11/ĐEN
K2012N0116850,DEMO-LAPTOP MSI MODERN 14 B11SB I5-1135G7/8GB/512GB PCIE/VGA 2GB/14 FHD/WIN10/VÀNG 075VN
869571055016174,DEMO-OPPO A76 6GB 128GB ĐEN (CPH2375)
863827056348792,DEMO-OPPO A96 8GB 128GB ĐEN (CPH2333)
865858062348896,DEMO-OPPO RENO 8T 5G 8GB 128GB VÀNG
860936060277344,DEMO-REALME C30S 2GB 32GB ĐEN
350753201229341,DEMO-SAMSUNG GALAXY A04S 4GB 64GB XANH (A047)
355864120754601,DEMO-SAMSUNG GALAXY S21 FE 8G 256GB XÁM (G990)
352125580343506,DEMO-SAMSUNG GALAXY TAB S8 ULTRA 8GB 128GB XÁM (X906)
353185441153626,DEMO-SAMSUNG GALAXY Z FLIP 4 5G 128GB VÀNG (F721)
351843260288269,DEMO-SAMSUNG GALAXY Z FOLD 4 5G 256GB XANH (F936)
866855069935278,DEMO-VIVO Y22S 8GB 128GB XANH VÀNG
861239051500843,DEMO-XIAOMI REDMI NOTE 11 PRO PLUS 5G 8GB 256GB XÁM
868909059091986,DEMO-XIAOMI REDMI NOTE 11S 8G 128GB TRẮNG
