Chọn,IMEI,Phiếu nhập,Nhà cung cấp,Ngày tồn,Ngày nhập,Ngày chuyển,Tồn cục bộ,Tên kho,Giá đặc biệt,Tên hàng,Ghi chú IMEI,Tình trạng,Loại hàng,Nhóm hàng,Đi đường,Số hóa đơn
FALSE,G5P4HJ6JY5,N.44NAQ.23.03.000055,,18,11/03/2023,11/03/2023,18,DON 44NAQ,,APPLE IPAD MINI 6 WIFI 64GB XÁM CŨ - TRẦY XƯỚC,,Mới,HÀNG HÓA,IPAD CŨ,,
FALSE,357771571892582,N.449TKTQ.23.01.000153,,69,19/01/2023,13/02/2023,44,DON 44NAQ,,APPLE IPHONE 12 64GB XANH CŨ - TRẦY XƯỚC,,Mới,HÀNG HÓA,IPHONE CŨ,,
FALSE,353776399123817,N.183PL.23.02.000264,,31,26/02/2023,25/03/2023,4,DON 44NAQ,,APPLE IPHONE 12 PRO MAX 128GB BẠC CŨ - TRẦY XƯỚC,,Mới,HÀNG HÓA,IPHONE CŨ,,
FALSE,350888744601760,N.248NTT.21.10.005172,CÔNG TY CỔ PHẦN THẾ GIỚI SỐ (DIGIWORLD)-APPLE,535,10/10/2021,25/03/2023,4,DON 44NAQ,,APPLE IPHONE 12 PRO MAX 256GB BẠC CŨ - ĐẸP,,Mới,HÀNG HÓA,IPHONE CŨ,,0053753
FALSE,352292930130783,N.288BTH.20.12.008697,CÔNG TY TNHH VIỄN THÔNG VIETTELTELECOM-IPHONE,824,25/12/2020,25/03/2023,4,DON 44NAQ,,APPLE IPHONE 12 PRO MAX 256GB BẠC CŨ - TRẦY XƯỚC,,Mới,HÀNG HÓA,IPHONE CŨ,,4161120
FALSE,358612416498384,N.288BTH.21.12.012887,Chi Nhánh Công Ty TNHH Phân Phối Synnex FPT - APPLE,460,24/12/2021,30/01/2023,58,DON 44NAQ,,APPLE IPHONE 13 PRO MAX 128GB XÁM CŨ - TRẦY XƯỚC,,Mới,HÀNG HÓA,IPHONE CŨ,,0126173
FALSE,357177500396531,N.139TN.21.12.004720,CÔNG TY TNHH NHÀ NƯỚC MTV TM VÀ XNK VIETTEL-IPHONE,476,08/12/2021,30/01/2023,58,DON 44NAQ,,APPLE IPHONE 13 PRO MAX 256GB VÀNG CŨ - ĐẸP,,Mới,HÀNG HÓA,IPHONE CŨ,,0391160
FALSE,355347086931579,N.44NAQ.23.03.000098,,3,26/03/2023,26/03/2023,3,DON 44NAQ,,APPLE IPHONE 7 PLUS 32GB ĐEN CŨ - ĐẸP,,Mới,HÀNG HÓA,IPHONE CŨ,,
FALSE,357279098085730,N.253NAN.22.09.000266,,185,25/09/2022,05/03/2023,24,DON 44NAQ,,APPLE IPHONE XS MAX 64GB VÀNG CŨ - TRẦY XƯỚC,,Mới,HÀNG HÓA,IPHONE CŨ,,
FALSE,SC02DX3VMQ05D,N.CPSHCM.21.01.008525,CÔNG TY CỔ PHẦN THẾ GIỚI SỐ (DIGIWORLD)-APPLE,795,23/01/2021,27/03/2023,12,DON 44NAQ,,APPLE MACBOOK PRO 13 TOUCH BAR M1 256GB 2020 XÁM (MYD82) CŨ - TRẦY XƯỚC,,Mới,HÀNG HÓA,MACBOOK CŨ,1,0062508
FALSE,864867065701812,N.241DXH.22.10.000226,CÔNG TY CỔ PHẦN DI ĐỘNG THÔNG MINH,159,21/10/2022,13/02/2023,44,DON 44NAQ,,OPPO A17 4GB 64GB ĐEN (CPH2477) - ĐÃ KÍCH HOẠT,,Mới,HÀNG HÓA,OPPO CŨ,,00061898
FALSE,866155055816859,N.175HV.22.12.000043,,106,13/12/2022,29/03/2023,,DON 44NAQ,,OPPO A73 6GB 128GB CAM (CPH2095) CŨ - TRẦY XƯỚC,,Mới,HÀNG HÓA,OPPO CŨ,,
FALSE,869571055020713,SX.CPSHCM.22.10.000039,,172,08/10/2022,01/12/2022,118,DON 44NAQ,,OPPO A76 6GB 128GB ĐEN (CPH2375) - ĐÃ KÍCH HOẠT,,Mới,HÀNG HÓA,OPPO CŨ,,
FALSE,863820050039392,N.32N5.22.08.000160,CÔNG TY CỔ PHẦN DI ĐỘNG THÔNG MINH,217,24/08/2022,27/01/2023,61,DON 44NAQ,,OPPO A96 8GB 128GB HỒNG (CPH2333) - ĐÃ KÍCH HOẠT,,Mới,HÀNG HÓA,OPPO CŨ,,00040003
FALSE,863820050155511,N.44NAQ.22.09.000088,CÔNG TY CỔ PHẦN DI ĐỘNG THÔNG MINH,191,19/09/2022,13/01/2023,75,DON 44NAQ,,OPPO A96 8GB 128GB HỒNG (CPH2333) - ĐÃ KÍCH HOẠT,,Mới,HÀNG HÓA,OPPO CŨ,,00048326
FALSE,351494690264122,N.CPSHCM.22.08.000078,CÔNG TY TNHH SAMSUNG ELECTRONICS VIỆT NAM THÁI NGUYÊN - CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH,235,06/08/2022,03/01/2023,85,DON 44NAQ,,SAMSUNG GALAXY A33 5G 6GB 128GB ĐEN (A336) - ĐÃ KÍCH HOẠT,,Mới,HÀNG HÓA,SAMSUNG CŨ,,00087592
FALSE,355066962758217,N.177KH.22.11.000140,,137,12/11/2022,14/02/2023,43,DON 44NAQ,,SAMSUNG GALAXY S22 8GB 128GB TRẮNG (S901) - ĐÃ KÍCH HOẠT,,Mới,HÀNG HÓA,SAMSUNG CŨ,,
FALSE,359638227503061,N.55BTQK.22.07.000558,CÔNG TY TNHH SAMSUNG ELECTRONICS VIỆT NAM THÁI NGUYÊN - CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH,243,29/07/2022,05/02/2023,52,DON 44NAQ,,SAMSUNG GALAXY TAB A7 LITE BẠC (T225) CŨ - ĐẸP,,Mới,HÀNG HÓA,SAMSUNG CŨ,,00082622
