IMEI,TEN
G5P4HJ6JY5,APPLE IPAD MINI 6 WIFI 64GB XÁM CŨ - TRẦY XƯỚC
357771571892582,APPLE IPHONE 12 64GB XANH CŨ - TRẦY XƯỚC
353776399123817,APPLE IPHONE 12 PRO MAX 128GB BẠC CŨ - TRẦY XƯỚC
350888744601760,APPLE IPHONE 12 PRO MAX 256GB BẠC CŨ - ĐẸP
352292930130783,APPLE IPHONE 12 PRO MAX 256GB BẠC CŨ - TRẦY XƯỚC
358612416498384,APPLE IPHONE 13 PRO MAX 128GB XÁM CŨ - TRẦY XƯỚC
357177500396531,APPLE IPHONE 13 PRO MAX 256GB VÀNG CŨ - ĐẸP
355347086931579,APPLE IPHONE 7 PLUS 32GB ĐEN CŨ - ĐẸP
357279098085730,APPLE IPHONE XS MAX 64GB VÀNG CŨ - TRẦY XƯỚC
SC02DX3VMQ05D,APPLE MACBOOK PRO 13 TOUCH BAR M1 256GB 2020 XÁM (MYD82) CŨ - TRẦY XƯỚC
864867065701812,OPPO A17 4GB 64GB ĐEN (CPH2477) - ĐÃ KÍCH HOẠT
866155055816859,OPPO A73 6GB 128GB CAM (CPH2095) CŨ - TRẦY XƯỚC
869571055020713,OPPO A76 6GB 128GB ĐEN (CPH2375) - ĐÃ KÍCH HOẠT
863820050039392,OPPO A96 8GB 128GB HỒNG (CPH2333) - ĐÃ KÍCH HOẠT
863820050155511,OPPO A96 8GB 128GB HỒNG (CPH2333) - ĐÃ KÍCH HOẠT
351494690264122,SAMSUNG GALAXY A33 5G 6GB 128GB ĐEN (A336) - ĐÃ KÍCH HOẠT
355066962758217,SAMSUNG GALAXY S22 8GB 128GB TRẮNG (S901) - ĐÃ KÍCH HOẠT
359638227503061,SAMSUNG GALAXY TAB A7 LITE BẠC (T225) CŨ - ĐẸP
351424281438470,SAMSUNG GALAXY TAB A8 2022 BẠC (X205) CŨ - TRẦY XƯỚC
RFAT804HLAZ,SAMSUNG GALAXY WATCH 5 44MM ĐEN (R910) - ĐÃ KÍCH HOẠT
353185440529404,SAMSUNG GALAXY Z FLIP 4 5G 128GB XÁM (F721) CŨ - TRẦY XƯỚC
863785069507053,VIVO T1X 4G 64GB XANH - ĐÃ KÍCH HOẠT
867253054438335,VIVO V23E 8GB 128GB ĐEN - ĐÃ KÍCH HOẠT
860672066600656,VIVO V25E 8GB 128GB VÀNG - ĐÃ KÍCH HOẠT
869949061286306,VIVO Y02 2GB 32GB XANH TÍM - ĐÃ KÍCH HOẠT
865497062494267,VIVO Y02S 3GB 32GB ĐEN - ĐÃ KÍCH HOẠT
865497062494523,VIVO Y02S 3GB 32GB ĐEN - ĐÃ KÍCH HOẠT
865717061380344,VIVO Y16 4GB 128GB ĐEN CŨ - ĐẸP
868450056934829,XIAOMI REDMI 10 4G 128GB XANH DƯƠNG (2022) - ĐÃ KÍCH HOẠT
SH4HDJ2ZHQ12G,APPLE WATCH SE 44MM (4G) - VIỀN NHÔM XÁM - VẢI XÁM (MYF12) CŨ - ĐẸP
QKG9DFJ9LG,APPLE WATCH SERIES 7 45MM (4G) - VIỀN NHÔM BẠC - CAO SU TRẮNG (MKJQ3) CŨ - ĐẸP
CRF4GH6W5X,APPLE WATCH SERIES 8 41MM (GPS) - VIỀN NHÔM ĐEN - CAO SU ĐEN (MNP53) CŨ - ĐẸP
SKY2YRXR9RY,APPLE WATCH SERIES 8 41MM (GPS) - VIỀN NHÔM ĐEN - CAO SU ĐEN CHÍNH HÃNG (MNP53) - ĐÃ KÍCH HOẠT
